Ep: 2140 | Steps: 928870 | AvgSPE: 434.1 |Epsilon: 0.0403 | Skor: 1.1 / -1.0
Ep: 2150 | Steps: 939267 | AvgSPE: 436.9 |Epsilon: 0.0397 | Skor: 1.2 / -0.9
Ep: 2160 | Steps: 946392 | AvgSPE: 438.1 |Epsilon: 0.0391 | Skor: 1.6 / -0.5
Ep: 2170 | Steps: 953351 | AvgSPE: 439.3 |Epsilon: 0.0385 | Skor: 1.4 / -0.7
Ep: 2180 | Steps: 964181 | AvgSPE: 442.3 |Epsilon: 0.0379 | Skor: 1.4 / -0.7
Ep: 2190 | Steps: 973735 | AvgSPE: 444.6 |Epsilon: 0.0373 | Skor: 1.3 / -0.8
Ep: 2200 | Steps: 981483 | AvgSPE: 446.1 |Epsilon: 0.0368 | Skor: 1.2 / -0.9
Ep: 2210 | Steps: 989876 | AvgSPE: 447.9 |Epsilon: 0.0362 | Skor: 1.9 / -0.1
Ep: 2220 | Steps: 999897 | AvgSPE: 450.4 |Epsilon: 0.0357 | Skor: -0.2 / 1.9
Ep: 2230 | Steps: 1005649 | AvgSPE: 451.0 |Epsilon: 0.0352 | Skor: -0.8 / 1.3
Ep: 2240 | Steps: 1009289 | AvgSPE: 450.6 |Epsilon: 0.0346 | Skor: 1.0 / -1.0
Ep: 2250 | Steps: 1022650 | AvgSPE: 454.5 |Epsilon: 0.0341 | Skor: 1.9 / -0.2
Ep: 2260 | Steps: 1038930 | AvgSPE: 459.7 |Epsilon: 0.0336 | Skor: 2.7 / 0.7
Ep: 2270 | Steps: 1055004 | AvgSPE: 464.8 |Epsilon: 0.0331 | Skor: -0.0 / 2.1
Ep: 2280 | Steps: 1070131 | AvgSPE: 469.4 |Epsilon: 0.0326 | Skor: -0.8 / 1.2
Ep: 2290 | Steps: 1084735 | AvgSPE: 473.7 |Epsilon: 0.0321 | Skor: 2.7 / 0.6
Ep: 2300 | Steps: 1096448 | AvgSPE: 476.7 |Epsilon: 0.0317 | Skor: 1.4 / -0.7
Ep: 2310 | Steps: 1113318 | AvgSPE: 482.0 |Epsilon: 0.0312 | Skor: 0.5 / 2.6
Ep: 2320 | Steps: 1134151 | AvgSPE: 488.9 |Epsilon: 0.0307 | Skor: -0.0 / 2.0
Ep: 2330 | Steps: 1148085 | AvgSPE: 492.7 |Epsilon: 0.0303 | Skor: 0.8 / 2.8
Ep: 2340 | Steps: 1158349 | AvgSPE: 495.0 |Epsilon: 0.0298 | Skor: -0.2 / 1.8
